Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2019-04-24,Avengers: Endgame,8.26,356000000,2800000000,"Adventure, Science Fiction, Action","superhero, time travel, space travel, time machine, based on comic, sequel, alien invasion, superhero team, marvel cinematic universe (mcu), alternate timeline, father daughter relationship, sister sister relationship","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson",Marvel Studios
2019-07-12,The Lion King,7.122,260000000,1663000000,"Adventure, Drama, Family, Animation","africa, lion, prince, redemption, musical, uncle, remake, grief, king, family, sidekick, live action and animation, father son relationship, live action remake",Jon Favreau,"Chiwetel Ejiofor, John Oliver, James Earl Jones, John Kani, Alfre Woodard","Walt Disney Pictures, Fairview Entertainment"
2019-11-20,Frozen II,7.3,150000000,1450000000,"Family, Animation, Adventure, Comedy, Fantasy","princess, magic, kingdom, winter, queen, castle, musical, sequel, dam, spirit, frozen, personification, mother daughter relationship","Chris Buck, Jennifer Lee","Idina Menzel, Kristen Bell, Josh Gad, Jonathan Groff, Evan Rachel Wood","Walt Disney Pictures, Walt Disney Animation Studios"
2019-06-28,Spider-Man: Far From Home,7.4,160000000,1131927996,"Action, Adventure, Science Fiction","venice, italy, superhero, school trip, europe, based on comic, sequel, destruction, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), tower of london",Jon Watts,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Jon Favreau","Marvel Studios, Pascal Pictures, Columbia Pictures"
2019-03-06,Captain Marvel,6.8,152000000,1131416446,"Action, Adventure, Science Fiction","superhero, based on comic, alien invasion, super power, female hero, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), woman director, hero's journey, 1990s, alien technology","Ryan Fleck, Anna Boden","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law, Annette Bening",Marvel Studios
2019-10-01,Joker,8.166,55000000,1074458282,"Crime, Thriller, Drama","dream, street gang, society, psychopath, clown, villain, based on comic, murder, psychological thriller, criminal mastermind, mental illness, anarchy, character study, clown makeup, subway train, social realism, supervillain, tv host, 1980s, mother son relationship, origin story, falling into madness",Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen","Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films"
2019-12-18,Star Wars: The Rise of Skywalker,6.355,250000000,1074144248,"Adventure, Action, Science Fiction",space opera,J.J. Abrams,"Carrie Fisher, Mark Hamill, Daisy Ridley, Adam Driver, John Boyega","Lucasfilm Ltd., Bad Robot"
2019-06-19,Toy Story 4,7.513,175000000,1073394593,"Family, Adventure, Animation, Comedy, Fantasy","friendship, cartoon, rescue mission, sequel, buddy, cowboy, duringcreditsstinger, toy comes to life",Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key","Walt Disney Pictures, Pixar"
2019-05-22,Aladdin,7.112,183000000,1054300000,"Adventure, Fantasy, Romance, Family","hero, hustler, palace, sultan, flying carpet, musical, rags to riches, romance, monkey, family, first love, based on myths, legends or folklore, genie, arabian nights, live action and animation, live action remake",Guy Ritchie,"Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari, Navid Negahban","Walt Disney Pictures, Rideback"
2019-12-04,Jumanji: The Next Level,6.921,125000000,801693929,"Adventure, Comedy, Fantasy","magic, animal attack, body-swap, adventurer, superhuman strength, duringcreditsstinger, action hero, trapped in a game",Jake Kasdan,"Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan, Awkwafina","Columbia Pictures, Seven Bucks Productions, Matt Tolmach Productions, The Detective Agency"
