Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1970-12-16,Love Story,6.775,2200000,136400000,"Romance, Drama","based on novel or book, harvard university, college, cancer, tragic love, class differences, string ensemble, telephone box, lapsed catholic, trying to get pregnant, snow angel, rich man poor woman",Arthur Hiller,"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland, Russell Nype","Paramount, Love Story Company"
1970-05-29,Airport,6.4,10000000,100489151,"Action, Drama, Thriller","airplane, airport, based on novel or book, panic, bomb, stowaway, snowstorm, landing, deception, blizzard, disaster movie, suicide bomber, snowplow",George Seaton,"Burt Lancaster, Dana Wynter, Dean Martin, Barbara Hale, Jean Seberg",Ross Hunter Productions
1970-01-25,Patton,7.526,12000000,89800000,"War, Drama, History","general, steel helmet, allies, world war ii, normandy, france, dead soldier, tank, biography, historical figure, d-day, destiny",Franklin J. Schaffner,"George C. Scott, Stephen Young, Frank Latimore, Karl Michael Vogler, Karl Malden",20th Century Fox
1970-02-18,M*A*S*H,6.965,3500000,81600000,"Comedy, Drama, War","american football, dark comedy, surgeon, american  way of life, korean war, military spoof, doctor, surgery, anti war, 1950s, korea",Robert Altman,"Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman, Robert Duvall","Aspen Productions (I), Ingo Preminger Productions, 20th Century Fox"
1970-12-24,The Aristocats,7.291,4000000,55675257,"Animation, Comedy, Family, Adventure","paris, france, return, butler, suspension, inheritance, cartoon cat, kitten, 1910s, cartoon goose",Wolfgang Reitherman,"Phil Harris, Eva Gabor, Sterling Holloway, Scatman Crothers, Paul Winchell",Walt Disney Productions
1970-03-26,Woodstock,7.512,600000,50000000,"Documentary, History, Music","hippie, free love, woodstock, new york, music festival, marijuana, rock music, skinny dipping, summer, drugs, concert film",Michael Wadleigh,"Richie Havens, Joan Baez, Roger Daltrey, John Entwistle, Keith Moon","Wadleigh-Maurice, Warner Bros. Pictures"
1970-07-17,Beyond the Valley of the Dolls,6.28,2090000,40000000,"Comedy, Drama, Music","pop star, pop, musical, sexploitation, rock band, inheritance fight, psychotronic, sexual liberation, socialite party, women in music",Russ Meyer,"Dolly Read, Cynthia Myers, Marcia McBroom, John Lazar, Michael Blodgett",20th Century Fox
1970-01-26,Tora! Tora! Tora!,7.156,25485000,37150000,"Drama, History, War","japan, hawaii, world war ii, pearl harbor, u.s. navy, pacific war, soldier, japanese army, imperial japan, 1940s","Richard Fleischer, Kinji Fukasaku, Toshio Masuda","Martin Balsam, SÅ Yamamura, Joseph Cotten, Tatsuya Mihashi, E.G. Marshall",20th Century Fox
1970-12-14,Little Big Man,7.538,15000000,31559552,"Adventure, Western, Comedy, Drama","based on novel or book, fight, indian territory, settler, native american, orphan, cheyenne, 19th century",Arthur Penn,"Dustin Hoffman, Faye Dunaway, Chief Dan George, Martin Balsam, Richard Mulligan","Cinema Center Films, Stockbridge-Hiller Productions"
1970-06-24,Catch-22,6.744,18000000,24911670,"War, Comedy","island, based on novel or book, world war ii, bomber, american",Mike Nichols,"Alan Arkin, Martin Balsam, Richard Benjamin, Art Garfunkel, Jack Gilford","Paramount, Filmways Productions"
1970-07-15,Joe,6.531,106000,19319254,"Drama, Thriller, Crime","drug dealer, drug abuse, free love, businessman, war veteran, upper class, gun rampage, orgy, violent father, racist, drug stealing",John G. Avildsen,"Peter Boyle, Dennis Patrick, Susan Sarandon, Patrick McDermott, K Callan",Cannon Group
1970-04-23,Beneath the Planet of the Apes,6.186,3000000,18999718,"Adventure, Science Fiction, Mystery","dystopia, mutant, astronaut, ape, worship",Ted Post,"James Franciscus, Kim Hunter, Maurice Evans, Linda Harrison, Paul Richards","APJAC Productions, 20th Century Fox"
1970-09-12,Five Easy Pieces,7.165,0,18099091,Drama,"musician, diner, road trip, hitchhiker, drifter, class differences, washington state, oil field, rebelliousness",Bob Rafelson,"Jack Nicholson, Karen Black, Susan Anspach, Lois Smith, Ralph Waite","BBS Productions, Columbia Pictures"
1970-08-03,Ann and Eve,4.5,0,18000000,Drama,eroticism,Arne Mattsson,"Gio PetrÃ©, Francisco Rabal, Marie Liljedahl, Erik Hell, Agneta Prytz","Jadran Film, Omega Film"
1970-05-13,Getting Straight,6.54,0,13300000,"Comedy, Drama, Romance","college, protest, activism",Richard Rush,"Elliott Gould, Candice Bergen, Robert F. Lyons, Cecil Kellaway, Jeff Corey","The Organization, Columbia Pictures"
1970-12-20,Donkey Skin,7.2,0,13200000,"Fantasy, Music, Romance, Comedy","princess, loss of loved one, cake, donkey, prince, surrealism, imaginary land, wedding, king, leaving home, based on fairy tale, ring, anachronism, fairy godmother, father daughter relationship",Jacques Demy,"Catherine Deneuve, Jacques Perrin, Jean Marais, Delphine Seyrig, Fernand Ledoux","Marianne Productions, Parc Film"
1970-11-04,Song of Norway,6.1,0,7800000,"Music, Drama","composer, biography, based on play or musical",Andrew L. Stone,"Toralv Maurstad, Florence Henderson, Christina Schollin, Frank Porretta, Harry Secombe","ABC Pictures, Anchor Bay Home Entertainment, Buena Vista International, Pearson Television International, Cinerama Productions Corp."
1970-06-10,"Count Yorga, Vampire",5.6,64000,7000000,Horror,"cat, vampire, kidnapping, castle, harem, murder, mansion, los angeles, california, doctor, hypnotism, lesbian",Bob Kelljan,"Robert Quarry, Roger Perry, Michael Murphy, Michael Macready, D.J. Anderson",Erica Productions Inc.
1970-07-23,Chisum,6.737,4000000,6000000,Western,"cattle, quick draw, pat garrett",Andrew V. McLaglen,"John Wayne, Forrest Tucker, Christopher George, Ben Johnson, Glenn Corbett","Batjac Productions, Warner Bros. Pictures"
1970-06-22,Kelly's Heroes,7.382,4000000,5200000,"Adventure, Comedy, War","gold, armor, world war ii, campaign, tank, us army, colonel, front, lieutenant",Brian G. Hutton,"Clint Eastwood, Telly Savalas, Don Rickles, Carroll O'Connor, Donald Sutherland","Katzka-Loeb, Avala Film, Metro-Goldwyn-Mayer"
1971-10-22,Lady Frankenstein,5.078,200000,139683000,"Horror, Science Fiction","monster, seduction, castle, surgeon, mad scientist, laboratory, serial killer, scientist, grave robbing, re-animation, abduction, father daughter relationship, frankenstein","Mel Welles, Aureliano Luppi","Joseph Cotten, Rosalba Neri, Paul MÃ¼ller, Herbert Fux, Renate KaschÃ©","Condor International Productions, New World Pictures"
